,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
12,Toronto Raptors,82,243.4,36.5,81.9,0.445,8.7,23.4,37.2,27.8,58.5,47.5,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,48.0,25.6,108.8,105.3,91.8,39.2,88.0,0.445,9.3,0.37200000000000005,29.8,62.9,0.475,21.1,26.9,0.782,12.2,33.4,45.7,22.7,7.6,4.5,15.2,24.6,2014,58.536585365853654,0.4751958224543081,81.9,28.57142857142857
13,Detroit Pistons,82,241.2,38.8,86.9,0.447,6.2,19.3,32.1,32.6,67.6,48.3,17.3,25.7,0.67,14.6,30.8,45.4,20.9,8.4,4.8,14.5,20.3,101.0,29.0,24.7,105.9,109.7,94.9,40.7,91.1,0.447,6.5,0.321,34.2,70.9,0.483,18.1,27.0,0.67,15.3,32.3,47.6,21.9,8.8,5.0,15.2,21.3,2014,35.36585365853659,0.5021168501270109,86.89999999999999,22.209436133486772
14,Atlanta Hawks,82,241.8,37.3,81.6,0.45799999999999996,9.4,25.8,36.3,28.0,55.8,50.2,17.0,21.7,0.7809999999999999,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,38.0,27.5,105.9,106.4,94.6,39.1,85.5,0.45799999999999996,9.8,0.363,29.3,58.5,0.502,17.8,22.8,0.7809999999999999,9.1,32.8,41.9,26.1,8.7,4.2,16.0,20.2,2014,46.34146341463415,0.47460757156048006,81.6,31.617647058823533
15,Washington Wizards,82,244.6,38.7,84.4,0.45899999999999996,7.9,20.8,38.0,30.9,63.6,48.5,15.3,20.9,0.731,10.8,31.4,42.2,23.3,8.1,4.6,14.7,20.4,100.7,44.0,26.3,106.0,104.6,93.2,40.8,88.8,0.45899999999999996,8.3,0.38,32.5,67.0,0.485,16.1,22.0,0.731,11.4,33.0,44.4,24.5,8.6,4.8,15.5,21.5,2014,53.65853658536586,0.48646209386281586,84.4,24.644549763033176
16,Sacramento Kings,82,241.8,36.9,82.5,0.447,6.0,18.0,33.3,30.9,64.5,47.9,20.7,27.3,0.759,12.1,32.4,44.5,18.9,7.2,3.9,15.2,22.5,100.5,28.0,24.9,105.7,108.8,94.4,38.8,86.8,0.447,6.3,0.33299999999999996,32.5,67.9,0.479,21.8,28.7,0.759,12.7,34.1,46.8,19.8,7.5,4.1,16.0,23.7,2014,34.146341463414636,0.47532467532467537,82.5,21.818181818181817
17,New Orleans Pelicans,82,242.1,37.8,82.5,0.45899999999999996,5.9,15.9,37.3,31.9,66.6,47.9,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,34.0,24.3,107.2,110.1,92.2,40.7,88.7,0.45899999999999996,6.4,0.373,34.3,71.6,0.479,19.5,25.4,0.769,12.2,32.6,44.8,22.9,8.5,6.9,14.8,24.4,2014,41.46341463414634,0.47239263803680975,82.5,19.272727272727273
18,Philadelphia 76ers,82,242.1,37.9,87.2,0.435,7.0,22.5,31.2,30.9,64.7,47.7,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,99.5,19.0,23.4,99.4,109.9,99.2,37.9,87.2,0.435,7.0,0.312,30.9,64.6,0.47700000000000004,16.6,23.4,0.71,11.6,31.2,42.7,21.8,9.3,4.0,16.9,22.5,2014,23.170731707317074,0.5072332730560578,87.2,25.80275229357798
19,New York Knicks,82,242.1,36.9,82.2,0.449,9.3,24.9,37.2,27.7,57.3,48.2,15.5,20.4,0.7609999999999999,10.6,29.7,40.3,20.0,7.7,4.5,13.0,22.1,98.6,37.0,28.3,108.3,109.1,90.3,40.5,90.2,0.449,10.2,0.37200000000000005,30.4,63.0,0.48200000000000004,17.0,22.4,0.7609999999999999,11.7,32.6,44.3,22.0,8.5,4.9,14.2,24.3,2014,45.1219512195122,0.48934280639431615,82.19999999999999,30.29197080291971
20,Brooklyn Nets,82,242.4,35.7,77.9,0.45899999999999996,8.6,23.4,36.9,27.1,54.5,49.7,18.4,24.4,0.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,98.5,44.0,30.0,106.7,107.7,91.4,38.7,84.4,0.45899999999999996,9.4,0.369,29.3,59.0,0.49700000000000005,19.9,26.4,0.753,9.5,31.8,41.3,22.6,9.3,4.1,15.7,23.5,2014,53.65853658536586,0.47111913357400725,77.9,30.038510911424897
21,Cleveland Cavaliers,82,243.0,37.0,84.8,0.43700000000000006,7.1,20.0,35.6,29.9,64.8,46.1,17.0,22.7,0.7509999999999999,12.1,32.1,44.1,21.2,7.1,3.7,14.2,20.0,98.2,33.0,24.9,104.2,107.7,93.1,39.3,90.0,0.43700000000000006,7.6,0.35600000000000004,31.7,68.7,0.461,18.1,24.1,0.7509999999999999,12.8,34.0,46.8,22.5,7.5,3.9,15.0,21.2,2014,40.243902439024396,0.4969325153374233,84.8,23.58490566037736
