,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Age,ORtg,DRtg,Pace,ph_FG,ph_FGA,ph_FGpct,ph_3P,ph_3Ppct,ph_2P,ph_2PA,ph_2Ppct,ph_FT,ph_FTA,ph_FTpct,ph_ORB,ph_DRB,ph_TRB,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,Year,PctWin,ph_shotmisspct,Shots,3PA/Shots
52,Minnesota Timberwolves,82,241.5,36.4,83.2,0.43799999999999994,5.0,14.9,33.2,31.5,68.3,46.1,20.0,25.7,0.7759999999999999,11.6,29.3,40.9,21.6,8.1,4.0,15.0,19.2,97.8,16.0,24.4,102.9,112.2,94.4,38.3,87.5,0.43799999999999994,5.2,0.332,33.1,71.8,0.461,21.0,27.1,0.7759999999999999,12.2,30.9,43.1,22.7,8.6,4.2,15.8,20.2,2015,19.51219512195122,0.4825479930191972,83.2,17.908653846153847
53,Indiana Pacers,82,242.1,36.6,83.2,0.439,7.5,21.2,35.2,29.1,62.0,46.9,16.7,22.2,0.7559999999999999,10.4,34.4,44.9,21.4,6.2,4.6,14.0,21.2,97.3,38.0,28.3,103.5,103.2,93.2,38.9,88.5,0.439,7.9,0.35200000000000004,31.0,66.0,0.469,17.8,23.6,0.7559999999999999,11.1,36.6,47.7,22.8,6.6,4.9,14.9,22.6,2015,46.34146341463415,0.4942016057091882,83.2,25.48076923076923
54,Orlando Magic,82,240.9,37.5,82.8,0.45299999999999996,6.8,19.5,34.7,30.8,63.3,48.6,13.9,19.1,0.7290000000000001,10.0,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7,25.0,24.3,101.6,107.7,93.8,39.8,87.9,0.45299999999999996,7.2,0.34700000000000003,32.6,67.2,0.486,14.8,20.3,0.7290000000000001,10.6,33.7,44.4,21.9,8.4,4.1,15.8,22.2,2015,30.48780487804878,0.49537892791127547,82.8,23.55072463768116
55,Utah Jazz,82,240.3,35.4,79.2,0.447,7.4,21.7,34.3,27.9,57.5,48.6,17.0,23.5,0.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1,38.0,23.4,105.1,104.9,90.4,39.1,87.5,0.447,8.2,0.34299999999999997,30.9,63.5,0.486,18.7,26.0,0.721,13.3,35.3,48.6,22.0,8.4,6.6,16.9,21.3,2015,46.34146341463415,0.49074889867841415,79.2,27.398989898989896
56,Miami Heat,82,240.6,35.2,77.2,0.456,6.8,20.2,33.5,28.4,57.0,49.9,17.5,23.7,0.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7,37.0,28.5,103.9,106.7,90.9,38.6,84.7,0.456,7.4,0.335,31.2,62.5,0.499,19.2,26.0,0.741,10.0,32.9,42.9,21.8,8.6,5.0,16.2,21.9,2015,45.1219512195122,0.4778681120144535,77.2,26.165803108808287
57,Charlotte Hornets,82,242.7,35.5,84.5,0.42,6.1,19.1,31.8,29.5,65.4,45.0,17.0,22.8,0.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,33.0,26.0,100.1,103.5,93.0,37.8,89.9,0.42,6.5,0.318,31.3,69.6,0.45,18.1,24.2,0.748,10.6,36.2,46.9,21.5,6.5,5.8,12.7,19.4,2015,40.243902439024396,0.5100788781770378,84.5,22.603550295857993
58,Philadelphia 76ers,82,241.5,33.7,82.6,0.408,8.4,26.3,32.0,25.3,56.3,44.9,16.1,23.8,0.6759999999999999,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92.0,18.0,23.2,95.5,104.8,95.7,35.0,85.8,0.408,8.8,0.32,26.2,58.4,0.449,16.7,24.7,0.6759999999999999,12.4,32.1,44.5,21.3,10.0,6.2,18.4,22.5,2015,21.951219512195124,0.5321266968325792,82.6,31.840193704600487
59,New York Knicks,82,242.1,35.1,82.0,0.428,6.8,19.7,34.7,28.3,62.3,45.4,14.8,19.2,0.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9,17.0,26.9,99.9,110.0,91.2,38.2,89.2,0.428,7.4,0.34700000000000003,30.8,67.8,0.45399999999999996,16.1,20.9,0.769,11.5,32.4,43.9,23.1,7.6,5.1,16.0,23.4,2015,20.73170731707317,0.5068119891008174,82.0,24.024390243902438
60,Golden State Warriors,82,242.4,42.5,87.3,0.48700000000000004,13.1,31.6,41.6,29.4,55.7,52.800000000000004,16.7,21.8,0.763,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9,73.0,27.4,114.5,103.8,99.3,42.4,87.0,0.48700000000000004,13.1,0.41600000000000004,29.3,55.5,0.528,16.6,21.8,0.763,9.9,36.1,46.0,28.8,8.4,6.1,15.1,20.7,2016,89.02439024390245,0.4577205882352941,87.30000000000001,36.19702176403207
61,Oklahoma City Thunder,82,241.8,41.1,86.4,0.47600000000000003,8.3,23.7,34.9,32.9,62.6,52.400000000000006,19.7,25.2,0.782,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2,55.0,25.8,113.1,105.6,96.7,42.2,88.6,0.47600000000000003,8.5,0.349,33.7,64.3,0.524,20.2,25.9,0.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,2016,67.07317073170732,0.45502183406113533,86.3,27.46234067207416
62,Sacramento Kings,82,241.5,40.0,86.4,0.46399999999999997,8.0,22.4,35.9,32.0,64.0,50.0,18.5,25.5,0.725,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6,33.0,26.6,106.0,108.4,100.0,39.8,85.9,0.46399999999999997,8.0,0.359,31.8,63.6,0.5,18.4,25.3,0.725,10.5,33.5,44.0,24.4,8.9,4.5,16.1,20.3,2016,40.243902439024396,0.47661870503597126,86.4,25.925925925925924
63,Houston Rockets,82,241.8,37.7,83.5,0.452,10.7,30.9,34.7,27.0,52.6,51.4,20.4,29.4,0.6940000000000001,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5,41.0,27.8,108.3,108.1,97.6,38.4,84.9,0.452,10.9,0.34700000000000003,27.5,53.5,0.514,20.7,29.8,0.6940000000000001,11.5,32.2,43.8,22.6,10.2,5.3,16.2,22.2,2016,50.0,0.48474280732345254,83.5,37.0059880239521
64,Boston Celtics,82,241.2,39.2,89.2,0.439,8.7,26.1,33.5,30.5,63.1,48.3,18.5,23.5,0.7879999999999999,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7,48.0,25.2,106.8,103.6,98.5,39.6,90.2,0.439,8.8,0.335,30.8,63.8,0.483,18.7,23.8,0.7879999999999999,11.7,33.7,45.4,24.4,9.3,4.3,13.9,22.1,2016,58.536585365853654,0.4885964912280702,89.2,29.260089686098656
65,Portland Trail Blazers,82,241.5,38.6,85.9,0.45,10.5,28.5,37.0,28.1,57.4,49.0,17.4,23.0,0.754,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1,44.0,24.3,108.8,108.0,96.0,40.0,88.9,0.45,10.9,0.37,29.1,59.4,0.49,18.0,23.8,0.754,12.0,35.1,47.1,22.1,7.1,4.8,15.1,22.5,2016,53.65853658536586,0.48535936113575867,85.9,33.17811408614668
66,Los Angeles Clippers,82,241.8,38.3,82.4,0.465,9.7,26.7,36.4,28.6,55.7,51.300000000000004,18.2,26.2,0.6920000000000001,8.8,33.3,42.0,22.8,8.6,5.6,13.0,21.3,104.5,53.0,29.7,108.3,103.8,95.8,39.7,85.4,0.465,10.1,0.364,29.6,57.7,0.513,18.8,27.2,0.6920000000000001,9.1,34.5,43.6,23.7,9.0,5.8,13.4,22.1,2016,64.63414634146342,0.480461811722913,82.4,32.40291262135922
67,Cleveland Cavaliers,82,242.1,38.7,84.0,0.46,10.7,29.6,36.2,27.9,54.4,51.4,16.3,21.7,0.748,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3,57.0,28.1,110.9,104.5,93.3,41.1,89.3,0.46,11.4,0.36200000000000004,29.7,57.8,0.514,17.3,23.1,0.748,11.3,36.0,47.3,24.1,7.1,4.1,14.4,21.6,2016,69.51219512195121,0.48042704626334515,84.0,35.23809523809524
68,Washington Wizards,82,240.9,39.5,85.8,0.46,8.6,24.2,35.8,30.8,61.6,50.1,16.5,22.5,0.73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1,41.0,27.3,105.3,105.8,98.5,40.0,86.8,0.46,8.7,0.358,31.2,62.3,0.501,16.6,22.8,0.73,9.2,33.2,42.3,24.7,8.7,4.0,14.6,21.1,2016,50.0,0.48357664233576636,85.8,28.205128205128204
69,San Antonio Spurs,82,240.3,40.1,82.9,0.484,7.0,18.5,37.5,33.2,64.4,51.5,16.4,20.4,0.8029999999999999,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5,67.0,30.3,110.3,99.0,93.8,42.7,88.3,0.484,7.4,0.375,35.3,68.6,0.515,17.4,21.7,0.8029999999999999,10.0,36.8,46.8,26.1,8.8,6.3,13.9,18.6,2016,81.70731707317073,0.4536363636363636,82.9,22.316043425814232
70,Charlotte Hornets,82,242.1,37.0,84.4,0.439,10.6,29.4,36.2,26.4,55.0,47.9,18.7,23.7,0.79,9.0,35.0,43.9,21.7,7.3,5.3,12.6,18.1,103.4,48.0,26.0,107.1,104.3,95.7,38.4,87.5,0.439,11.0,0.36200000000000004,27.3,57.0,0.479,19.4,24.5,0.79,9.3,36.3,45.5,22.5,7.5,5.5,13.0,18.8,2016,58.536585365853654,0.48392857142857143,84.4,34.83412322274881
71,Atlanta Hawks,82,241.8,38.6,84.4,0.45799999999999996,9.9,28.4,35.0,28.7,56.1,51.2,15.6,20.0,0.7829999999999999,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8,48.0,28.2,105.1,101.4,97.1,39.5,86.3,0.45799999999999996,10.2,0.35,29.3,57.3,0.512,16.0,20.4,0.7829999999999999,8.5,34.5,43.0,26.2,9.3,6.1,15.3,19.6,2016,58.536585365853654,0.4798500468603561,84.5,33.6094674556213
72,New Orleans Pelicans,82,241.2,38.5,85.9,0.44799999999999995,8.6,23.8,36.0,29.9,62.1,48.2,17.3,22.2,0.7759999999999999,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7,30.0,26.6,105.6,109.5,96.8,39.5,88.3,0.44799999999999995,8.8,0.36,30.7,63.8,0.48200000000000004,17.7,22.9,0.7759999999999999,9.8,34.0,43.8,22.8,7.9,4.3,13.8,21.5,2016,36.58536585365854,0.48561151079136683,85.9,27.706635622817227
73,Toronto Raptors,82,241.2,36.7,81.3,0.451,8.6,23.4,37.0,28.0,58.0,48.3,20.8,26.7,0.777,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7,56.0,26.3,110.0,105.2,92.9,39.3,87.1,0.451,9.2,0.37,30.0,62.1,0.483,22.2,28.6,0.777,10.9,35.6,46.5,20.1,8.3,5.9,14.0,21.0,2016,68.29268292682927,0.4684528954191875,81.4,28.74692874692874
74,Minnesota Timberwolves,82,242.4,37.7,81.3,0.46399999999999997,5.5,16.4,33.8,32.2,64.9,49.6,21.4,27.0,0.792,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4,29.0,24.6,106.5,110.1,95.2,39.2,84.5,0.46399999999999997,5.8,0.33799999999999997,33.5,67.5,0.496,22.2,28.1,0.792,10.4,32.8,43.2,24.3,8.3,4.8,15.6,21.5,2016,35.36585365853659,0.4547069271758436,81.30000000000001,20.172201722017217
75,Dallas Mavericks,82,244.0,37.4,84.1,0.444,9.8,28.6,34.4,27.5,55.6,49.5,17.7,22.3,0.794,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3,42.0,30.3,106.7,107.0,94.3,39.0,87.8,0.444,10.3,0.344,28.7,58.0,0.495,18.5,23.3,0.794,9.6,35.4,44.9,23.1,7.1,3.9,13.3,20.3,2016,51.21951219512195,0.4824482448244824,84.2,33.966745843230406
76,Indiana Pacers,82,242.4,38.3,85.2,0.45,8.1,23.0,35.1,30.2,62.1,48.6,17.4,22.8,0.764,10.3,33.9,44.2,21.2,9.0,4.8,14.9,20.0,102.2,45.0,26.9,104.6,102.9,96.6,39.3,87.3,0.45,8.3,0.35100000000000003,31.0,63.7,0.486,17.9,23.4,0.764,10.6,34.7,45.3,21.7,9.3,4.9,15.2,20.5,2016,54.87804878048781,0.4832881662149955,85.1,27.027027027027028
77,Orlando Magic,82,242.7,39.5,86.8,0.455,7.8,22.2,35.0,31.8,64.7,49.2,15.2,20.1,0.757,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1,35.0,23.9,105.1,106.8,96.0,40.7,89.4,0.455,8.0,0.35,32.7,66.6,0.49200000000000005,15.7,20.7,0.757,10.6,34.0,44.6,24.3,8.5,5.2,14.5,21.4,2016,42.68292682926829,0.4877384196185286,86.9,25.546605293440734
78,Detroit Pistons,82,242.4,37.9,86.4,0.439,9.0,26.2,34.5,28.9,60.2,48.0,17.1,25.5,0.6679999999999999,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0,44.0,25.0,106.1,105.5,95.1,39.5,90.0,0.439,9.4,0.345,30.1,62.7,0.48,17.8,26.6,0.6679999999999999,13.0,35.3,48.2,20.2,7.3,3.9,14.1,19.8,2016,53.65853658536586,0.5085763293310464,86.4,30.32407407407407
79,Denver Nuggets,82,241.8,37.7,85.4,0.442,8.0,23.7,33.8,29.7,61.7,48.2,18.5,24.1,0.7659999999999999,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9,33.0,24.7,105.6,108.9,95.7,39.1,88.5,0.442,8.3,0.33799999999999997,30.8,64.0,0.48200000000000004,19.1,25.0,0.7659999999999999,11.9,34.4,46.3,23.5,7.7,5.0,15.2,21.8,2016,40.243902439024396,0.48722466960352423,85.4,27.751756440281028
80,Chicago Bulls,82,242.7,38.6,87.4,0.441,7.9,21.4,37.1,30.7,66.1,46.4,16.5,21.0,0.787,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6,42.0,27.6,105.0,106.5,95.7,39.9,90.3,0.441,8.2,0.371,31.7,68.2,0.46399999999999997,17.1,21.7,0.787,11.4,36.4,47.8,23.6,6.2,5.9,14.4,19.5,2016,51.21951219512195,0.49107142857142855,87.5,24.457142857142856
81,Phoenix Suns,82,240.3,37.2,85.6,0.435,9.0,25.8,34.8,28.2,59.8,47.2,17.5,23.2,0.7509999999999999,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9,23.0,26.0,102.2,109.0,98.5,37.7,86.8,0.435,9.1,0.348,28.6,60.6,0.47200000000000003,17.7,23.5,0.7509999999999999,11.7,33.8,45.4,21.0,7.8,3.9,17.4,23.0,2016,28.04878048780488,0.4977334542157751,85.6,30.140186915887853
82,Miami Heat,82,241.8,38.4,81.7,0.47,6.1,18.0,33.6,32.3,63.6,50.8,17.1,23.0,0.7440000000000001,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0,48.0,28.4,106.1,104.4,93.6,40.7,86.6,0.47,6.4,0.336,34.3,67.5,0.508,18.2,24.4,0.7440000000000001,10.4,36.4,46.8,22.1,7.2,6.9,14.9,19.4,2016,58.536585365853654,0.4693693693693693,81.6,22.058823529411768
83,Memphis Grizzlies,82,241.8,36.8,83.6,0.44,6.1,18.5,33.1,30.7,65.1,47.1,19.3,24.7,0.7829999999999999,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1,42.0,30.5,105.4,107.8,93.3,39.2,89.0,0.44,6.5,0.331,32.6,69.3,0.47100000000000003,20.6,26.3,0.7829999999999999,11.9,32.4,44.3,22.0,9.4,4.5,14.1,23.1,2016,51.21951219512195,0.48135299219427574,83.6,22.129186602870814
84,Milwaukee Bucks,82,241.8,38.4,82.2,0.467,5.4,15.6,34.5,33.0,66.6,49.5,17.0,22.7,0.747,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0,33.0,23.5,104.3,108.7,94.2,40.4,86.6,0.467,5.7,0.345,34.7,70.2,0.495,17.9,23.9,0.747,11.0,32.9,43.9,24.3,8.6,6.1,16.0,21.8,2016,40.243902439024396,0.4723981900452489,82.19999999999999,18.978102189781023
85,Brooklyn Nets,82,240.9,38.2,84.4,0.45299999999999996,6.5,18.4,35.2,31.8,66.0,48.1,15.7,20.7,0.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6,21.0,26.9,103.2,110.9,95.2,40.0,88.3,0.45299999999999996,6.8,0.35200000000000004,33.2,69.0,0.48100000000000004,16.4,21.7,0.757,11.0,33.3,44.4,23.3,8.0,4.2,15.5,18.8,2016,25.609756097560975,0.4872727272727273,84.4,21.800947867298575
86,New York Knicks,82,241.5,36.9,84.0,0.439,7.4,21.5,34.6,29.4,62.5,47.1,17.2,21.4,0.805,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4,32.0,27.2,104.6,107.6,93.4,39.2,89.3,0.439,7.9,0.34600000000000003,31.3,66.5,0.47100000000000003,18.3,22.7,0.805,11.0,36.2,47.2,21.8,6.1,6.0,14.3,21.0,2016,39.02439024390244,0.48660714285714285,84.0,25.595238095238095
87,Utah Jazz,82,243.4,36.1,80.4,0.449,8.5,23.9,35.5,27.6,56.5,48.8,17.1,23.0,0.7440000000000001,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7,40.0,24.2,105.9,103.9,91.0,39.1,87.1,0.449,9.2,0.355,29.9,61.3,0.488,18.5,24.9,0.7440000000000001,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,2016,48.78048780487805,0.4857142857142857,80.4,29.726368159203975
88,Philadelphia 76ers,82,241.5,36.2,84.0,0.431,9.3,27.5,33.9,26.9,56.5,47.6,15.7,22.6,0.6940000000000001,9.5,31.8,41.2,21.5,8.3,6.0,16.4,21.7,97.4,10.0,23.3,98.8,109.2,97.9,36.7,85.2,0.431,9.5,0.33899999999999997,27.3,57.3,0.47600000000000003,15.9,22.9,0.6940000000000001,9.6,32.2,41.8,21.8,8.4,6.1,16.6,22.0,2016,12.195121951219512,0.5134135060129509,84.0,32.73809523809524
89,Los Angeles Lakers,82,240.6,35.1,84.8,0.414,7.8,24.6,31.7,27.3,60.2,45.4,19.3,24.7,0.7809999999999999,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3,17.0,26.5,101.6,111.6,95.6,36.7,88.5,0.414,8.1,0.317,28.5,62.9,0.45399999999999996,20.1,25.8,0.7809999999999999,11.2,33.7,44.8,18.8,7.5,4.3,14.3,21.2,2016,20.73170731707317,0.5030621172353456,84.80000000000001,29.009433962264147
90,Golden State Warriors,82,241.2,43.1,87.1,0.495,12.0,31.2,38.3,31.1,55.8,55.7,17.8,22.6,0.7879999999999999,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9,67.0,28.2,115.6,104.0,99.8,43.0,86.8,0.495,11.9,0.38299999999999995,31.0,55.7,0.557,17.7,22.5,0.7879999999999999,9.4,34.9,44.3,30.3,9.5,6.7,14.7,19.3,2017,81.70731707317073,0.44464775846294596,87.0,35.86206896551724
91,Houston Rockets,82,241.2,40.3,87.2,0.462,14.4,40.3,35.7,25.9,46.9,55.2,20.3,26.5,0.7659999999999999,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,55.0,27.4,114.7,109.0,100.0,40.1,86.8,0.462,14.3,0.35700000000000004,25.8,46.7,0.552,20.2,26.4,0.7659999999999999,10.8,33.3,44.1,25.1,8.1,4.3,15.0,19.8,2017,67.07317073170732,0.4673144876325088,87.19999999999999,46.21559633027523
92,Denver Nuggets,82,240.9,41.2,87.7,0.469,10.6,28.8,36.8,30.6,58.9,51.9,18.7,24.2,0.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7,40.0,25.2,113.2,112.7,98.3,41.7,88.9,0.469,10.8,0.368,31.0,59.7,0.519,19.0,24.5,0.774,11.9,35.1,47.0,25.7,7.0,4.0,15.2,19.4,2017,48.78048780487805,0.46472663139329806,87.7,32.839224629418474
93,Cleveland Cavaliers,82,242.4,39.9,84.9,0.47,13.0,33.9,38.4,26.9,51.0,52.800000000000004,17.5,23.3,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3,51.0,29.2,113.6,110.3,96.2,41.1,87.4,0.47,13.4,0.384,27.7,52.5,0.528,18.0,24.0,0.748,9.6,35.4,45.0,23.3,6.8,4.1,14.1,18.7,2017,62.19512195121951,0.46947935368043087,84.9,39.92932862190812
94,Washington Wizards,82,242.1,41.3,87.0,0.475,9.2,24.8,37.2,32.1,62.3,51.5,17.3,22.1,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,49.0,26.0,111.2,109.3,97.4,42.1,88.6,0.475,9.4,0.37200000000000005,32.7,63.4,0.515,17.6,22.5,0.784,10.5,33.2,43.6,24.3,8.6,4.2,14.4,21.7,2017,59.756097560975604,0.4626462646264626,87.1,28.473019517795638
95,Los Angeles Clippers,82,240.9,39.5,83.2,0.475,10.3,27.4,37.5,29.3,55.8,52.5,19.3,26.0,0.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7,51.0,30.0,112.7,108.2,96.1,41.0,86.3,0.475,10.6,0.375,30.4,57.9,0.525,20.1,26.9,0.745,9.3,35.3,44.6,23.4,7.7,4.4,13.4,20.6,2017,62.19512195121951,0.4602473498233215,83.19999999999999,32.932692307692314
96,Boston Celtics,82,240.9,38.6,85.1,0.45399999999999996,12.0,33.4,35.9,26.6,51.7,51.5,18.7,23.2,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,53.0,25.9,111.2,108.4,96.8,39.8,87.6,0.45399999999999996,12.4,0.359,27.4,53.2,0.515,19.3,23.9,0.807,9.3,33.9,43.2,26.0,7.7,4.3,13.7,21.2,2017,64.63414634146342,0.4699551569506727,85.1,39.247943595769684
97,Portland Trail Blazers,82,243.0,39.5,86.1,0.45899999999999996,10.4,27.7,37.5,29.2,58.4,49.9,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9,41.0,24.8,110.3,110.8,96.7,40.4,87.9,0.45899999999999996,10.6,0.375,29.8,59.6,0.499,18.8,24.2,0.78,10.3,34.3,44.6,21.6,7.2,5.1,14.0,21.6,2017,50.0,0.471900089206066,86.1,32.17189314750291
98,Phoenix Suns,82,241.8,39.9,88.5,0.45,7.5,22.6,33.2,32.4,65.9,49.1,20.4,26.3,0.7759999999999999,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7,24.0,25.0,106.6,112.2,100.3,39.5,87.6,0.45,7.4,0.332,32.0,65.3,0.491,20.2,26.1,0.7759999999999999,11.8,32.7,44.5,19.4,8.1,4.8,15.3,24.5,2017,29.268292682926827,0.4749340369393139,88.5,25.536723163841806
99,Toronto Raptors,82,241.2,39.2,84.4,0.46399999999999997,8.8,24.3,36.3,30.3,60.0,50.5,19.7,24.7,0.7959999999999999,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,51.0,26.1,112.3,107.8,94.7,41.1,88.6,0.46399999999999997,9.3,0.363,31.9,63.1,0.505,20.7,26.0,0.7959999999999999,11.2,34.3,45.4,19.4,8.7,5.1,13.3,21.9,2017,62.19512195121951,0.4607329842931937,84.3,28.825622775800714
100,Oklahoma City Thunder,82,241.5,39.5,87.4,0.452,8.4,25.8,32.7,31.0,61.6,50.4,19.2,25.8,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,47.0,24.7,108.3,107.5,97.8,40.1,88.8,0.452,8.6,0.327,31.5,62.6,0.504,19.5,26.2,0.745,12.4,34.9,47.4,21.3,8.0,5.1,15.2,21.2,2017,57.3170731707317,0.4817391304347826,87.4,29.51945080091533
101,Brooklyn Nets,82,240.9,37.8,85.2,0.444,10.7,31.6,33.8,27.1,53.6,50.6,19.4,24.6,0.7879999999999999,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,20.0,26.0,104.1,110.7,101.3,37.2,83.8,0.444,10.5,0.33799999999999997,26.7,52.7,0.506,19.1,24.2,0.7879999999999999,8.7,34.5,43.2,21.1,7.1,4.6,16.3,20.7,2017,24.390243902439025,0.4787037037037037,85.2,37.08920187793427
102,Minnesota Timberwolves,82,241.5,39.5,84.4,0.467,7.3,21.0,34.9,32.1,63.4,50.7,19.3,24.2,0.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6,31.0,24.0,110.8,112.0,94.6,41.4,88.6,0.467,7.7,0.349,33.7,66.6,0.507,20.3,25.4,0.799,12.0,32.5,44.5,24.8,8.4,4.7,14.7,21.1,2017,37.80487804878049,0.4587719298245614,84.4,24.881516587677723
103,San Antonio Spurs,82,241.5,39.3,83.7,0.469,9.2,23.5,39.1,30.1,60.2,50.0,17.6,22.0,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3,61.0,29.6,111.1,103.5,94.2,41.5,88.3,0.469,9.7,0.391,31.8,63.5,0.5,18.5,23.2,0.797,10.6,35.7,46.3,25.1,8.4,6.2,14.2,19.3,2017,74.39024390243902,0.4618834080717489,83.7,28.076463560334524
104,Indiana Pacers,82,242.1,39.3,84.5,0.465,8.6,23.0,37.6,30.6,61.5,49.8,17.9,22.1,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,42.0,27.0,108.6,108.8,95.9,40.6,87.4,0.465,8.9,0.376,31.7,63.6,0.498,18.5,22.8,0.81,9.4,34.1,43.4,23.2,8.4,5.2,14.2,20.1,2017,51.21951219512195,0.46370235934664245,84.5,27.218934911242602
105,Charlotte Hornets,82,241.8,37.7,85.4,0.442,10.0,28.6,35.1,27.7,56.7,48.8,19.4,23.8,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,36.0,26.5,108.8,108.6,95.7,39.1,88.5,0.442,10.4,0.35100000000000003,28.7,58.9,0.488,20.1,24.7,0.815,9.1,36.1,45.2,23.9,7.2,4.9,11.9,17.2,2017,43.90243902439025,0.47703180212014135,85.30000000000001,33.52872215709261
106,Los Angeles Lakers,82,240.3,39.3,87.4,0.45,8.9,25.7,34.6,30.4,61.6,49.3,17.0,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,26.0,25.1,106.0,113.0,98.5,39.9,88.6,0.45,9.0,0.34600000000000003,30.8,62.5,0.493,17.3,22.9,0.754,11.5,32.6,44.1,21.2,8.3,4.0,15.4,21.0,2017,31.70731707317073,0.4869955156950672,87.3,29.43871706758305
107,New Orleans Pelicans,82,242.7,39.1,87.0,0.45,9.4,26.8,35.0,29.8,60.2,49.5,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,34.0,25.7,105.2,107.4,98.0,39.5,87.7,0.45,9.4,0.35,30.0,60.7,0.495,16.8,22.4,0.75,8.6,35.4,44.1,23.0,7.8,5.6,13.0,18.3,2017,41.46341463414634,0.48864668483197093,87.0,30.804597701149426
108,New York Knicks,82,242.1,39.6,88.5,0.447,8.6,24.7,34.8,31.0,63.8,48.5,16.6,21.1,0.7879999999999999,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,31.0,27.3,107.7,111.5,96.0,40.9,91.4,0.447,8.9,0.348,32.0,65.9,0.485,17.2,21.8,0.7879999999999999,12.4,34.3,46.7,22.5,7.3,5.7,14.3,21.0,2017,37.80487804878049,0.4867491166077739,88.5,27.90960451977401
