,Team,Year,PctWin,ph_3Ppct,ph_2Ppct,ph_FTpct,ph_AST,ph_STL,ph_BLK,ph_TOV,ph_PF,ph_shotmisspct,PC1,PC2,PC3,PC4,PC5,PC6
44,Chicago Bulls,2015,60.97560975609756,0.353,0.474,0.7829999999999999,23.2,6.7,6.2,14.9,19.5,0.4787510841283608,0.09669893895734395,1.3372257646053716,1.911882462396828,1.1077072465411044,0.2146937014893574,-0.3287308082978884
45,New Orleans Pelicans,2015,54.87804878048781,0.37,0.484,0.7509999999999999,24.0,7.3,6.8,14.4,20.3,0.48070175438596496,0.6501000227450688,0.3739912735436012,1.6210510796913233,2.0176305611510923,0.04568183581093072,-0.0005912757427794929
46,Washington Wizards,2015,56.09756097560976,0.36,0.488,0.742,25.3,7.7,4.9,15.8,21.9,0.4799635701275047,-0.11369233486867472,-0.7150054945797362,0.15624678710721993,0.3236270719539348,-1.2359550415583291,-0.08158491980699287
47,Detroit Pistons,2015,39.02439024390244,0.344,0.46799999999999997,0.703,23.1,8.1,5.0,14.3,20.3,0.5120898100172712,-2.3107492952889888,0.4077520884471292,-1.0098745967462996,1.870448925418815,-0.22429383542002593,-0.42419364238967816
48,Los Angeles Lakers,2015,25.609756097560975,0.344,0.461,0.741,22.0,7.4,4.7,13.9,22.3,0.4986922406277245,-2.286767945010026,0.9490861377158474,0.24315325025618814,0.07861707239934113,-0.23244680279584606,-0.09740263473339097
49,Memphis Grizzlies,2015,67.07317073170732,0.33899999999999997,0.485,0.773,23.3,9.2,4.5,14.3,20.5,0.47438162544169615,-0.19676335286829388,0.00462954562940035,-0.9680529279577184,-0.7574616662819466,1.045565351963232,-1.1087440678412617
50,Brooklyn Nets,2015,46.34146341463415,0.331,0.489,0.748,22.3,7.5,4.4,14.7,20.5,0.48660714285714285,-1.4045201319255596,0.8290060193287733,-0.5345061370725699,-0.06736040285410086,0.41063945483764935,0.28202910967202033
51,Milwaukee Bucks,2015,50.0,0.363,0.486,0.757,24.7,10.1,5.2,17.6,23.2,0.47966728280961185,-0.20908332670551932,-3.453350962612186,0.0581645863249913,-0.5190025166714985,-0.6789887335516277,-1.355214786381154
52,Minnesota Timberwolves,2015,19.51219512195122,0.332,0.461,0.7759999999999999,22.7,8.6,4.2,15.8,20.2,0.4825479930191972,-1.4943091979877032,0.12720671633443328,-0.4052235672911441,-0.7885149688933588,0.2564076315929965,-1.4282687927939914
53,Indiana Pacers,2015,46.34146341463415,0.35200000000000004,0.469,0.7559999999999999,22.8,6.6,4.9,14.9,22.6,0.4942016057091882,-1.6611111856071936,0.804395062259175,1.1824699158565328,-0.0062942460152308755,-1.0228444403918817,0.24219816639824032
54,Orlando Magic,2015,30.48780487804878,0.34700000000000003,0.486,0.7290000000000001,21.9,8.4,4.1,15.8,22.2,0.49537892791127547,-2.025348621148851,-0.7909773837434354,-0.8456107120678905,-0.4013331076159063,-0.5406673877714081,0.2848579415708505
55,Utah Jazz,2015,46.34146341463415,0.34299999999999997,0.486,0.721,22.0,8.4,6.6,16.9,21.3,0.49074889867841415,-1.4705840836425301,-1.9118146459059164,1.0752387950039657,1.7993355993713058,0.6350210106918879,0.17713345964619057
56,Miami Heat,2015,45.1219512195122,0.335,0.499,0.741,21.8,8.6,5.0,16.2,21.9,0.4778681120144535,-1.1877636831029859,-1.4005021807708378,-0.1394566957320327,-0.2983968985301392,0.7449545258657827,0.4311515892373134
57,Charlotte Hornets,2015,40.243902439024396,0.318,0.45,0.748,21.5,6.5,5.8,12.7,19.4,0.5100788781770378,-2.7751651139675904,2.954820912120331,0.8077563284118974,1.8614320319930047,1.3327144968809683,-0.5905000731768048
58,Philadelphia 76ers,2015,21.951219512195124,0.32,0.449,0.6759999999999999,21.3,10.0,6.2,18.4,22.5,0.5321266968325792,-5.028780066280655,-3.69805118408575,-0.07004741655750008,2.453766298956062,0.36537480443412396,-1.3803583639914876
59,New York Knicks,2015,20.73170731707317,0.34700000000000003,0.45399999999999996,0.769,23.1,7.6,5.1,16.0,23.4,0.5068119891008174,-2.420550521062029,-0.36966015635742866,1.4153457695095817,-0.173584495836826,-1.055002039859748,-1.0962128790654802
60,Golden State Warriors,2016,89.02439024390245,0.41600000000000004,0.528,0.763,28.8,8.4,6.1,15.1,20.7,0.4577205882352941,4.389480435840908,-1.355194771852556,0.35988793216803533,1.224734204924747,-1.8564387908604174,-0.1366312337055835
61,Oklahoma City Thunder,2016,67.07317073170732,0.349,0.524,0.782,23.6,7.5,6.1,16.3,21.2,0.45502183406113533,1.4471880684472482,-0.9587418990534783,1.533579553018029,-0.076811918943816,0.7609377331809961,0.8627147263545578
62,Sacramento Kings,2016,40.243902439024396,0.359,0.5,0.725,24.4,8.9,4.5,16.1,20.3,0.47661870503597126,0.06207570450103406,-1.2883070649587791,-1.3540953641760325,0.41528210821815664,-0.589800903760133,-0.028033171080193466
63,Houston Rockets,2016,50.0,0.34700000000000003,0.514,0.6940000000000001,22.6,10.2,5.3,16.2,22.2,0.48474280732345254,-0.9271121447249174,-3.173767806927125,-1.5281084970385987,0.7320293581529783,0.8185978400211946,0.4307895512101048
64,Boston Celtics,2016,58.536585365853654,0.335,0.483,0.7879999999999999,24.4,9.3,4.3,13.9,22.1,0.4885964912280702,-0.6154362320542801,-0.0671045253489019,-0.8987221590067092,-1.2351464059004933,0.7278476549107166,-1.8175443253639447
65,Portland Trail Blazers,2016,53.65853658536586,0.37,0.49,0.754,22.1,7.1,4.8,15.1,22.5,0.48535936113575867,-0.6820711701603954,0.21835380777050672,0.7943287088681642,-0.33563675448372265,-1.08176590066583,0.9520941813808227
66,Los Angeles Clippers,2016,64.63414634146342,0.364,0.513,0.6920000000000001,23.7,9.0,5.8,13.4,22.1,0.480461811722913,0.2236041835621919,-1.2162697219717624,-1.0226171879327086,1.4868017448580395,0.6697221463964267,0.9390869733522933
67,Cleveland Cavaliers,2016,69.51219512195121,0.36200000000000004,0.514,0.748,24.1,7.1,4.1,14.4,21.6,0.48042704626334515,0.23018328749260775,0.6281816845644288,-0.6275970699779927,-0.3908107229949029,-1.0136522166862416,1.0859610115254692
68,Washington Wizards,2016,50.0,0.358,0.501,0.73,24.7,8.7,4.0,14.6,21.1,0.48357664233576636,-0.10132633550284376,-0.41500847891957343,-1.7830013896311718,-0.06720593423605585,-0.6403536935586168,-0.07123477128981819
69,San Antonio Spurs,2016,81.70731707317073,0.375,0.515,0.8029999999999999,26.1,8.8,6.3,13.9,18.6,0.4536363636363636,3.6028393822378035,0.18963854901819505,0.37509666298780153,0.6801132856369574,0.992448755877863,-1.050573858479563
70,Charlotte Hornets,2016,58.536585365853654,0.36200000000000004,0.479,0.79,22.5,7.5,5.5,13.0,18.8,0.48392857142857143,0.4380221920813051,2.287036660225708,0.5399260165328128,0.5932582383124665,0.6606577190336588,-0.6178425220935357
71,Atlanta Hawks,2016,58.536585365853654,0.35,0.512,0.7829999999999999,26.2,9.3,6.1,15.3,19.6,0.4798500468603561,1.5855034189564035,-1.0297511645824347,-0.13929438942197198,0.9831527280536293,0.9504874293375194,-1.6056574975070403
72,New Orleans Pelicans,2016,36.58536585365854,0.36,0.48200000000000004,0.7759999999999999,22.8,7.9,4.3,13.8,21.5,0.48561151079136683,-0.4340320078698282,1.0225287374742704,-0.1883837636630719,-0.8430541887268671,-0.3146673994564654,-0.32438355099850613
73,Toronto Raptors,2016,68.29268292682927,0.37,0.483,0.777,20.1,8.3,5.9,14.0,21.0,0.4684528954191875,0.22295270996821753,0.3886191292752624,1.2186138938532327,-0.22215946041401347,1.102546902660256,0.34551752097909
74,Minnesota Timberwolves,2016,35.36585365853659,0.33799999999999997,0.496,0.792,24.3,8.3,4.8,15.6,21.5,0.4547069271758436,0.7009263591666632,-0.5666202071455904,0.3684283598436595,-1.3366998415447897,0.6278233582161995,-0.5166078562838606
75,Dallas Mavericks,2016,51.21951219512195,0.344,0.495,0.794,23.1,7.1,3.9,13.3,20.3,0.4824482448244824,-0.12707817076493727,2.289329706557109,-0.4429753696166794,-1.1059620113387654,0.1279565149103405,-0.09744932810820243
76,Indiana Pacers,2016,54.87804878048781,0.35100000000000003,0.486,0.764,21.7,9.3,4.9,15.2,20.5,0.4832881662149955,-0.6355916619879095,-0.5598951772191828,-0.5370902627111105,-0.31235046602462757,0.7865999861129671,-0.6756249099156721
77,Orlando Magic,2016,42.68292682926829,0.35,0.49200000000000005,0.757,24.3,8.5,5.2,14.5,21.4,0.4877384196185286,-0.2098342708896555,-0.2766877147813987,-0.2331019343161523,0.31688478183136604,0.2178464661896492,-0.6736706572860941
